sector_code;sector_label;activity_code;activity_label;product_code;product_label
C;ACTIVITES DE FABRICATION ;C170003;Fabrication d'articles en papier ou en carton ;C17000302;Articles de papeterie  
C;ACTIVITES DE FABRICATION ;C170003;Fabrication d'articles en papier ou en carton ;C17000303;Autres articles en papier ou en carton  
C;ACTIVITES DE FABRICATION ;C180100;Imprimerie et activités connexes ;C18010001;Impression de journaux 
C;ACTIVITES DE FABRICATION ;C180100;Imprimerie et activités connexes ;C18010002;Autres travaux d'impression 
C;ACTIVITES DE FABRICATION ;C180200;Reproduction d'enregistrements ;C18020001;Reproduction d'enregistrements sonores  
C;ACTIVITES DE FABRICATION ;C180200;Reproduction d'enregistrements ;C18020002;Reproduction d'enregistrements vidéo  
C;ACTIVITES DE FABRICATION ;C180200;Reproduction d'enregistrements ;C18020003;Reproduction d'enregistrements informatiques  
C;ACTIVITES DE FABRICATION ;C190100;Raffinage pétrolier;C19010001;Essences  
C;ACTIVITES DE FABRICATION ;C190100;Raffinage pétrolier;C19010002;Carburéacteurs et kérosène  
C;ACTIVITES DE FABRICATION ;C190100;Raffinage pétrolier;C19010003;Gazoles  
C;ACTIVITES DE FABRICATION ;C190100;Raffinage pétrolier;C19010004;Fiouls lourds  
C;ACTIVITES DE FABRICATION ;C190100;Raffinage pétrolier;C19010005;Huiles de pétrole  
C;ACTIVITES DE FABRICATION ;C190100;Raffinage pétrolier;C19010006;Butane et propane  
C;ACTIVITES DE FABRICATION ;C190100;Raffinage pétrolier;C19010007;Autres produits pétroliers raffinés gazeux  
C;ACTIVITES DE FABRICATION ;C190100;Raffinage pétrolier;C19010008;Produits pétroliers raffinés solides ou pâteux  
C;ACTIVITES DE FABRICATION ;C190100;Raffinage pétrolier;C19010009;Processing (raffinage à façon)  
C;ACTIVITES DE FABRICATION ;C190200;Cokéfaction ;C19020000;Produits de la cokéfaction 
C;ACTIVITES DE FABRICATION ;C200101;Fabrication de produits azotés et d'engrais ;C20010100;Produits azotés et engrais  
C;ACTIVITES DE FABRICATION ;C200101;Fabrication de produits azotés et d'engrais ;C20010101;Gaz industriels 
C;ACTIVITES DE FABRICATION ;C200101;Fabrication de produits azotés et d'engrais ;C20010102;Colorants, pigments et agents tannants  
C;ACTIVITES DE FABRICATION ;C200101;Fabrication de produits azotés et d'engrais ;C20010103;Autres produits chimiques inorganiques de base 
